EVENT NAME,EVENT EXCERPT,EVENT VENUE NAME,EVENT ORGANIZER NAME,EVENT START DATE,EVENT START TIME,EVENT END DATE,EVENT END TIME,ALL DAY EVENT
生命專車工作坊(大馬)#46,,,,2025/8/8,,2025/8/10,,TRUE
開啟感知力工作坊(大馬)#2-1,,,,2025/8/11,,2025/8/12,,TRUE
深度轉化工作坊(大馬)#9,,,,2025/8/13,,2025/8/15,,TRUE
生命專車工作坊#47,,,,2025/9/13,,2025/9/14,,TRUE
成為自己的心靈教練#7,,,,2025/9/9,,2025/9/9,,TRUE
成為自己的心靈教練#7,,,,2025/9/16,,2025/9/16,,TRUE
成為自己的心靈教練#7,,,,2025/9/23,,2025/9/23,,TRUE
成為自己的心靈教練#7,,,,2025/10/7,,2025/10/7,,TRUE
成為自己的心靈教練#7,,,,2025/10/14,,2025/10/14,,TRUE
成為自己的心靈教練#7,,,,2025/10/21,,2025/10/21,,TRUE
成為自己的心靈教練#7,,,,2025/10/28,,2025/10/28,,TRUE
成為自己的心靈教練#7,,,,2025/11/3,,2025/11/3,,TRUE
成為自己的心靈教練#7,,,,2025/11/10,,2025/11/10,,TRUE
成為自己的心靈教練#7,,,,2025/11/17,,2025/11/17,,TRUE
成為自己的心靈教練#7,,,,2025/11/24,,2025/11/24,,TRUE
主題整合排列工作坊#1：金錢財富,,,,2025/9/27,,2025/9/27,,TRUE
生命與AI工作坊,,,,2025/10/18,,2025/10/18,,TRUE
企業外訓,,,,2025/11/5,,2025/11/7,,TRUE
開啟感知力工作坊#1-2,,,,2025/11/11,,2025/11/12,,TRUE
主題整合排列工作坊#2: 健康疾病,,,,2025/11/22,,2025/11/22,,TRUE
生命專車工作坊#48(大馬),,,,2025/11/28,,2025/11/30,,TRUE
開啟感知力工作坊(大馬)#2-1,,,,2025/12/1,,2025/12/2,,TRUE
內在小孩工作坊#25(大馬),,,,2025/12/3,,2025/12/5,,TRUE
企業外訓,,,,2025/12/15,,2025/12/17,,TRUE
